epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,13857.7,1.44407,0.80608,1.10887,0.80389,0.69948,0.79247,0.37382,1.79145,0.79848,1.18653,0.003565,0.003565,0.003565
80,14033.2,1.42496,0.79636,1.10258,0.80721,0.70459,0.79519,0.37528,1.78932,0.79522,1.18629,0.0034825,0.0034825,0.0034825
81,14208.5,1.42346,0.79598,1.1076,0.80588,0.70459,0.79606,0.37478,1.78781,0.79454,1.185,0.0034,0.0034,0.0034
82,14383.7,1.41907,0.78875,1.1033,0.79831,0.70449,0.79481,0.37329,1.79144,0.79204,1.18695,0.0033175,0.0033175,0.0033175
83,14558.8,1.40839,0.78127,1.09671,0.79917,0.70092,0.79369,0.37203,1.79281,0.79118,1.18701,0.003235,0.003235,0.003235
84,14733.8,1.40524,0.78433,1.09512,0.80441,0.69424,0.79255,0.37536,1.78823,0.79001,1.184,0.0031525,0.0031525,0.0031525
85,14909,1.3984,0.77522,1.0963,0.80195,0.7,0.79565,0.37604,1.78978,0.78794,1.18562,0.00307,0.00307,0.00307
86,15084.4,1.39253,0.77203,1.0892,0.81336,0.69166,0.79372,0.37702,1.78504,0.78498,1.18245,0.0029875,0.0029875,0.0029875
87,15259.5,1.39618,0.77184,1.08775,0.81807,0.68892,0.79341,0.37928,1.77951,0.78314,1.17992,0.002905,0.002905,0.002905
88,15434.8,1.38296,0.75937,1.08366,0.80834,0.69541,0.79522,0.38116,1.77609,0.78224,1.17888,0.0028225,0.0028225,0.0028225
89,15610.2,1.37772,0.75988,1.08537,0.81104,0.697,0.79613,0.38152,1.77273,0.78137,1.17811,0.00274,0.00274,0.00274
90,15785.7,1.3707,0.75451,1.07998,0.80539,0.70275,0.7983,0.38194,1.76992,0.7804,1.17751,0.0026575,0.0026575,0.0026575
91,15961.2,1.36267,0.75014,1.07905,0.80927,0.70067,0.79939,0.38166,1.76786,0.77937,1.17634,0.002575,0.002575,0.002575
92,16136.6,1.35776,0.74452,1.075,0.80755,0.70275,0.80008,0.38272,1.76551,0.77768,1.1757,0.0024925,0.0024925,0.0024925
93,16312.4,1.36077,0.74839,1.07532,0.8021,0.69908,0.79867,0.38375,1.7625,0.77661,1.17463,0.00241,0.00241,0.00241
94,16490.8,1.35263,0.74398,1.07529,0.80532,0.69725,0.79858,0.38414,1.76061,0.77563,1.17365,0.0023275,0.0023275,0.0023275
95,16666.2,1.34198,0.73607,1.07025,0.80944,0.70183,0.79912,0.38319,1.75806,0.77325,1.17259,0.002245,0.002245,0.002245
96,16841.5,1.34049,0.73084,1.06392,0.80794,0.70275,0.79944,0.38496,1.75642,0.77371,1.17165,0.0021625,0.0021625,0.0021625
97,17016.8,1.32373,0.72135,1.06098,0.81215,0.7055,0.80366,0.38582,1.75447,0.77321,1.17088,0.00208,0.00208,0.00208
98,17192.1,1.31744,0.72027,1.06326,0.81325,0.70734,0.80495,0.38601,1.75291,0.7717,1.17115,0.0019975,0.0019975,0.0019975
99,17367.3,1.32417,0.72218,1.06364,0.81227,0.7055,0.80318,0.38647,1.75154,0.77062,1.17063,0.001915,0.001915,0.001915
100,17542.8,1.31937,0.71885,1.06171,0.81181,0.70734,0.80427,0.38722,1.74979,0.76957,1.16972,0.0018325,0.0018325,0.0018325
101,17718.2,1.30652,0.70871,1.05698,0.81164,0.70459,0.80208,0.38686,1.74745,0.77002,1.16938,0.00175,0.00175,0.00175
102,17893.6,1.30658,0.70896,1.05691,0.81478,0.70626,0.80485,0.38782,1.74451,0.76827,1.16859,0.0016675,0.0016675,0.0016675
103,18068.8,1.29753,0.70026,1.05118,0.81639,0.70572,0.80424,0.38967,1.74229,0.76749,1.1682,0.001585,0.001585,0.001585
104,18244.3,1.28848,0.69755,1.04578,0.81548,0.70642,0.8027,0.39001,1.74069,0.76621,1.168,0.0015025,0.0015025,0.0015025
105,18419.7,1.28388,0.69583,1.04837,0.81718,0.70534,0.80324,0.39083,1.73932,0.76528,1.16772,0.00142,0.00142,0.00142
106,18595.2,1.28101,0.69403,1.04459,0.81515,0.70801,0.80465,0.39193,1.73844,0.76436,1.1675,0.0013375,0.0013375,0.0013375
